CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,DATE,DATETIME,HOUR,VALUE,HOUR2D,VALIDATION
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T07:00:00Z,7,12,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T08:00:00Z,8,21,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T09:00:00Z,9,14,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T10:00:00Z,10,8,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T11:00:00Z,11,7,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T12:00:00Z,12,4,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T13:00:00Z,13,2,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T14:00:00Z,14,1,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T15:00:00Z,15,2,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T16:00:00Z,16,2,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T17:00:00Z,17,2,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T18:00:00Z,18,3,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T19:00:00Z,19,2,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T20:00:00Z,20,2,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T23:00:00Z,23,1,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,1,2025-08-01,2025-08-01T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T08:00:00Z,8,3,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T09:00:00Z,9,6,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T10:00:00Z,10,5,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T11:00:00Z,11,1,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T12:00:00Z,12,1,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T13:00:00Z,13,1,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T14:00:00Z,14,1,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T15:00:00Z,15,1,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T16:00:00Z,16,1,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T17:00:00Z,17,1,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T18:00:00Z,18,2,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T19:00:00Z,19,1,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T20:00:00Z,20,1,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T23:00:00Z,23,1,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,2,2025-08-02,2025-08-02T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T01:00:00Z,1,2,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T02:00:00Z,2,2,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T08:00:00Z,8,1,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,3,2025-08-03,2025-08-03T09:00:00Z,9,1,09,Valid
