num_expediente,fecha,hora,localizacion 1,localizacion 2,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,coordenada_x_utm,coordenada_y_utm,positiva_alcohol
2025S000056,01/01/2025,0:49:00,CALLE LOPEZ DE HOYOS,CALLE ROS DE OLANO,140,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Ciclomotor,Conductor,De 30 a 34 años,Hombre,442966,4477385,N
2025S000056,01/01/2025,0:49:00,CALLE LOPEZ DE HOYOS,CALLE ROS DE OLANO,140,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,442966,4477385,N
2025S000056,01/01/2025,0:49:00,CALLE LOPEZ DE HOYOS,CALLE ROS DE OLANO,140,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Pasajero,De 40 a 44 años,Mujer,442966,4477385,N
2025S000057,01/01/2025,2:20:00,GTA. RIO ZANCARA,CALLE ARROYO DE POZUELO,1,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,433911,4478290,N
2025S000057,01/01/2025,2:20:00,GTA. RIO ZANCARA,CALLE ARROYO DE POZUELO,1,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,433911,4478290,N
2025S000058,01/01/2025,3:18:00,"CALLE GALLUR, 489",,489,10,LATINA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 18 a 20 años,Hombre,437019,4471984,S
2025S000060,01/01/2025,4:00:00,CALLE LUCHANA,CALLE EGUILAZ,16,7,CHAMBERÍ,Colisión lateral,Despejado,Maquinaria de obras,Conductor,De 55 a 59 años,Hombre,440567,4475699,N
2025S000060,01/01/2025,4:00:00,CALLE LUCHANA,CALLE EGUILAZ,16,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,440567,4475699,N
2025S000061,01/01/2025,3:30:00,"AVDA. PABLO IGLESIAS, 50",,50,6,TETUÁN,Colisión fronto-lateral,,Turismo,Conductor,De 50 a 54 años,Hombre,439772,4477959,N
2025S000061,01/01/2025,3:30:00,"AVDA. PABLO IGLESIAS, 50",,50,6,TETUÁN,Colisión fronto-lateral,,Turismo,Conductor,Desconocido,Desconocido,439772,4477959,N
2025S000063,01/01/2025,6:58:00,"CALLE PRINCESA, 28",,28,1,CENTRO,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,De 30 a 34 años,Hombre,439427,4475473,S
2025S000063,01/01/2025,6:58:00,"CALLE PRINCESA, 28",,28,1,CENTRO,Alcance,Despejado,Motocicleta hasta 125cc,Pasajero,De 35 a 39 años,Mujer,439427,4475473,N
2025S000063,01/01/2025,6:58:00,"CALLE PRINCESA, 28",,28,1,CENTRO,Alcance,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,439427,4475473,N
2025S000064,01/01/2025,7:10:00,PASEO. ARTILLEROS,CALLE CALAHORRA,6,19,VICÁLVARO,Choque contra obstáculo fijo,,Turismo,Conductor,De 30 a 34 años,Mujer,448291,4473199,S
2025S000064,01/01/2025,7:10:00,PASEO. ARTILLEROS,CALLE CALAHORRA,6,19,VICÁLVARO,Choque contra obstáculo fijo,,Turismo,Conductor,Desconocido,Desconocido,448291,4473199,N
2025S000064,01/01/2025,7:10:00,PASEO. ARTILLEROS,CALLE CALAHORRA,6,19,VICÁLVARO,Choque contra obstáculo fijo,,Turismo,Conductor,Desconocido,Desconocido,448291,4473199,N
2025S000065,01/01/2025,7:30:00,CALLE CAMINO DE LOS VINATEROS,CALLE CORREGIDOR DIEGO DE VALDERRABANO,5,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Mujer,444161,4473548,N
2025S000065,01/01/2025,7:30:00,CALLE CAMINO DE LOS VINATEROS,CALLE CORREGIDOR DIEGO DE VALDERRABANO,5,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,444161,4473548,N
2025S000069,01/01/2025,7:50:00,CALLE MIGUEL PALACIOS,AVDA. PEÑA PRIETA,4,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Motocicleta hasta 125cc,Conductor,Desconocido,Desconocido,443545,4472565,N
2025S000069,01/01/2025,7:50:00,CALLE MIGUEL PALACIOS,AVDA. PEÑA PRIETA,4,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,443545,4472565,N
